order_id,product_id,customer_id,quantity,TotalPrice,order_date,shipping_date,order_status,payment_method
O70001,P1016,C20235,6,7844.82,2023-07-21,2023-07-28,Leveret,MobilePay
O70002,P1001,C20602,1,1192.73,2024-02-27,2024-03-04,Afsendt,Faktura
O70003,P1009,C20540,6,1941.24,2022-01-04,2022-01-10,Returneret,Kreditkort
O70004,P1012,C20612,6,16297.74,2023-06-04,2023-06-05,Leveret,Kreditkort
O70005,P1020,C21105,2,5383.32,2022-06-06,2022-06-09,Returneret,Dankort
O70006,P1014,C20230,1,2064.71,2023-09-06,2023-09-09,Annulleret,MobilePay
O70007,P1017,C20162,5,22491.65,2022-09-03,2022-09-04,Afsendt,Faktura
O70008,P1020,C20258,5,13458.3,2024-04-15,2024-04-16,Afsendt,Faktura
O70009,P1018,C20867,5,2722.3,2023-07-17,2023-07-19,Returneret,Kreditkort
O70010,P1019,C20765,6,23881.14,2024-01-01,2024-01-04,Afsendt,Faktura
O70011,P1017,C20693,1,4498.33,2022-05-04,2022-05-06,Afsendt,Kreditkort
O70012,P1016,C20121,1,1307.47,2023-08-26,2023-08-28,Afsendt,Dankort
O70013,P1004,C20488,5,14932.0,2024-05-30,2024-06-02,Afsendt,Faktura
O70014,P1005,C21170,6,10597.38,2022-08-08,2022-08-13,Afsendt,Kreditkort
O70015,P1020,C20390,4,10766.64,2024-03-14,2024-03-18,Afsendt,Faktura
O70016,P1019,C20111,4,15920.76,2022-12-29,2023-01-02,Leveret,Dankort
O70017,P1010,C20224,3,5884.86,2022-03-04,2022-03-08,Afsendt,Kreditkort
O70018,P1005,C20376,4,7064.92,2023-07-04,2023-07-08,Afsendt,Kreditkort
O70019,P1014,C20201,5,10323.55,2024-06-14,2024-06-15,Afsendt,Dankort
O70020,P1012,C20341,2,5432.58,2022-04-06,2022-04-13,Afsendt,Faktura
O70021,P1019,C20338,1,3980.19,2022-08-07,2022-08-14,Afsendt,Faktura
O70022,P1020,C20585,4,10766.64,2022-09-29,2022-10-06,Afsendt,Faktura
O70023,P1018,C20120,2,1088.92,2022-06-08,2022-06-10,Afsendt,Dankort
O70024,P1016,C21197,1,1307.47,2024-02-05,2024-02-08,Afsendt,Kreditkort
O70025,P1004,C20141,2,5972.8,2022-02-28,2022-03-05,Afsendt,Kreditkort
O70026,P1009,C20505,5,1617.7,2023-02-18,2023-02-19,Afsendt,Dankort
O70027,P1019,C21196,6,23881.14,2023-09-27,2023-09-28,Afsendt,MobilePay
O70028,P1002,C20644,6,1528.44,2022-09-25,2022-09-27,Afsendt,Faktura
O70029,P1002,C20937,3,764.22,2022-05-15,2022-05-21,Afsendt,Dankort
O70030,P1003,C20205,5,14245.5,2022-01-10,2022-01-14,Afsendt,Kreditkort
O70031,P1005,C20141,3,5298.69,2023-06-03,2023-06-06,Annulleret,MobilePay
O70032,P1014,C20620,5,10323.55,2022-10-19,2022-10-21,Leveret,Dankort
O70033,P1006,C20213,3,1718.73,2023-11-15,2023-11-22,Annulleret,Kreditkort
O70034,P1009,C21134,1,323.54,2022-09-28,2022-09-29,Afsendt,MobilePay
O70035,P1010,C20417,3,5884.86,2023-09-12,2023-09-14,Leveret,MobilePay
O70036,P1018,C20190,1,544.46,2023-06-02,2023-06-06,Leveret,MobilePay
O70037,P1001,C20537,2,2385.46,2022-02-15,2022-02-16,Afsendt,Faktura
O70038,P1019,C20020,5,19900.95,2023-07-19,2023-07-25,Afsendt,Kreditkort
O70039,P1012,C21193,3,8148.87,2023-07-13,2023-07-14,Afsendt,Faktura
O70040,P1018,C20082,3,1633.38,2022-05-11,2022-05-12,Annulleret,Kreditkort
O70041,P1002,C20725,1,254.74,2023-11-30,2023-12-02,Leveret,Faktura
O70042,P1005,C20333,2,3532.46,2023-09-28,2023-10-04,Returneret,Kreditkort
O70043,P1005,C20681,6,10597.38,2023-02-27,2023-02-28,Leveret,Faktura
O70044,P1012,C20509,6,16297.74,2024-04-01,2024-04-07,Afsendt,Dankort
O70045,P1016,C20456,4,5229.88,2023-01-27,2023-02-03,Afsendt,Faktura
O70046,P1012,C20457,2,5432.58,2022-12-25,2022-12-28,Afsendt,Kreditkort
O70047,P1018,C20572,1,544.46,2023-02-13,2023-02-16,Afsendt,Faktura
O70048,P1006,C20057,3,1718.73,2023-11-27,2023-12-04,Afsendt,MobilePay
O70049,P1018,C20223,1,544.46,2022-07-02,2022-07-07,Afsendt,MobilePay
O70050,P1001,C21048,4,4770.92,2024-01-17,2024-01-24,Afsendt,Kreditkort
O70051,P1010,C20004,4,7846.48,2022-09-18,2022-09-19,Afsendt,Kreditkort
O70052,P1004,C20677,6,17918.4,2023-01-08,2023-01-12,Leveret,Dankort
O70053,P1006,C20837,3,1718.73,2024-01-08,2024-01-11,Afsendt,MobilePay
O70054,P1017,C20777,4,17993.32,2023-07-22,2023-07-24,Leveret,Kreditkort
O70055,P1018,C21123,4,2177.84,2023-09-23,2023-09-28,Leveret,MobilePay
O70056,P1019,C20660,5,19900.95,2022-10-21,2022-10-23,Afsendt,Faktura
O70057,P1006,C20348,4,2291.64,2023-11-23,2023-11-25,Leveret,MobilePay
O70058,P1002,C20687,5,1273.7,2023-06-12,2023-06-18,Afsendt,Kreditkort
O70059,P1017,C20302,2,8996.66,2023-11-20,2023-11-23,Afsendt,Kreditkort
O70060,P1012,C20933,1,2716.29,2023-05-02,2023-05-07,Afsendt,Kreditkort
O70061,P1019,C20819,4,15920.76,2024-01-06,2024-01-12,Afsendt,Dankort
O70062,P1020,C20871,1,2691.66,2024-02-08,2024-02-15,Afsendt,Faktura
O70063,P1017,C20935,1,4498.33,2022-02-21,2022-02-26,Afsendt,Faktura
O70064,P1006,C20650,5,2864.55,2023-11-15,2023-11-20,Returneret,Faktura
O70065,P1010,C20874,5,9808.1,2023-09-20,2023-09-27,Leveret,Faktura
O70066,P1012,C20922,4,10865.16,2022-06-12,2022-06-18,Afsendt,Kreditkort
O70067,P1018,C20993,5,2722.3,2024-05-10,2024-05-16,Leveret,MobilePay
O70068,P1010,C20481,3,5884.86,2023-03-27,2023-03-28,Afsendt,MobilePay
O70069,P1005,C20474,2,3532.46,2023-07-08,2023-07-09,Afsendt,Kreditkort
O70070,P1004,C20835,4,11945.6,2023-12-25,2023-12-27,Afsendt,Faktura
O70071,P1017,C20798,4,17993.32,2023-03-02,2023-03-03,Annulleret,Dankort
O70072,P1003,C20977,4,11396.4,2024-05-27,2024-06-03,Afsendt,MobilePay
O70073,P1019,C21103,4,15920.76,2022-11-02,2022-11-09,Leveret,Kreditkort
O70074,P1018,C20995,4,2177.84,2023-05-15,2023-05-17,Afsendt,MobilePay
O70075,P1020,C20339,4,10766.64,2023-11-16,2023-11-22,Leveret,Kreditkort
O70076,P1016,C21156,4,5229.88,2023-09-30,2023-10-05,Leveret,Dankort
O70077,P1005,C20373,4,7064.92,2023-10-21,2023-10-25,Afsendt,Faktura
O70078,P1014,C20692,3,6194.13,2022-12-02,2022-12-04,Leveret,Faktura
O70079,P1012,C20517,4,10865.16,2022-10-12,2022-10-19,Leveret,Faktura
O70080,P1006,C20717,1,572.91,2022-01-20,2022-01-26,Afsendt,Dankort
O70081,P1016,C20507,1,1307.47,2024-03-10,2024-03-16,Afsendt,Dankort
O70082,P1017,C20970,2,8996.66,2023-09-29,2023-10-01,Leveret,Kreditkort
O70083,P1018,C20344,3,1633.38,2023-04-22,2023-04-28,Leveret,Dankort
O70084,P1005,C20222,3,5298.69,2024-03-07,2024-03-14,Afsendt,MobilePay
O70085,P1009,C20813,4,1294.16,2023-08-13,2023-08-19,Annulleret,Kreditkort
O70086,P1010,C20498,6,11769.72,2022-03-19,2022-03-24,Afsendt,MobilePay
O70087,P1003,C21160,1,2849.1,2024-05-20,2024-05-26,Leveret,MobilePay
O70088,P1002,C20142,3,764.22,2023-06-30,2023-07-04,Afsendt,MobilePay
O70089,P1019,C20217,4,15920.76,2022-01-13,2022-01-20,Afsendt,MobilePay
O70090,P1014,C20314,6,12388.26,2023-10-13,2023-10-20,Afsendt,MobilePay
O70091,P1009,C20991,5,1617.7,2023-09-23,2023-09-30,Afsendt,MobilePay
O70092,P1017,C20572,1,4498.33,2022-11-27,2022-12-04,Annulleret,Kreditkort
O70093,P1003,C20777,5,14245.5,2024-02-08,2024-02-12,Afsendt,Faktura
O70094,P1005,C20435,4,7064.92,2024-05-21,2024-05-24,Afsendt,MobilePay
